training/progress,train/grad_clip_ratio,timing/forward_ms,train/learning_rate,summary/total_iterations,performance/iterations_per_second,eval/loss,eval/num_batches,summary/final_eval_perplexity,train/grad_norm_before_clip,timing/optimizer_ms,summary/final_eval_loss,train/loss,step,system/elapsed_time_hours,performance/tokens_per_second,timing/backward_ms,summary/average_tokens_per_second,timing/eval_total_seconds,model/total_parameters,train/running_loss,training/iteration,summary/total_training_time_hours,timing/total_ms,learning_rate/group_0,model/trainable_parameters,train/perplexity,summary/final_train_loss,eval/perplexity,train/grad_norm_after_clip,timestamp
,,,,,,,,,,,,,280,0.8346223711305194,,,,,,,,,,,,,,,,1756117591.283788
,,,,,,,,,,,,,290,,,,,,,,,,,0.0001508886574588668,,,,,,1756117667.353622
,0.9999999780606301,2704.317808151245,,,,,,,0.45580159512624524,86.78317070007324,,1.1978265047073364,290,,,6738.641977310181,,,,,,,9529.742956161499,,,3.3129085008072168,,,0.45580159512624524,1756117677.134304
0.58,,,0.0001508886574588668,,0.10198804151658016,,,,,,,,290,,835.4860361038246,,,,,1.3071333360671997,290,,,,,,,,,1756117677.158686
,,,,,,,,,,,,,290,0.8584765458769269,,,,,,,,,,,,,,,,1756117677.158817
,,,,,,,,,,,,,300,,,,,,,,,,,0.0001415574960149644,,,,,,1756117757.18273
,0.9999999719538766,2490.701913833618,,,,,,,0.35655550568186156,77.40211486816406,,1.2834382057189941,300,,,5727.257013320923,,,,,,,8295.361042022705,,,3.609026995631523,,,0.35655550568186156,1756117765.69778
0.6,,,0.0001415574960149644,,0.1171311592379598,,,,,,,,300,,959.5384564773667,,,,,1.2960682773590089,300,,,,,,,,,1756117765.7201622
,,,,,,,,,,,,,300,0.8830769508414799,,,,,,,,,,,,,,,,1756117765.7202759
,,,,,,1.2427318596839905,50,,,,,,300,,,,,140.65111207962036,,,,,,,,,,3.465066622341433,,1756117906.371708
,,,,,,,,,,,,,310,,,,,,,,,,,0.00013234054409404485,,,,,,1756117985.400775
,0.9999999736840199,2466.146945953369,,,,,,,0.37999723753866665,79.96797561645508,,1.2928135395050049,310,,,5659.574031829834,,,,,,,8205.688953399658,,,3.6430219363125045,,,0.37999723753866665,1756117993.828495
0.62,,,0.00013234054409404485,,0.11825926297789358,,,,,,,,310,,968.7798823149042,,,,,1.2866274559497832,310,,,,,,,,,1756117993.8567638
,,,,,,,,,,,,,310,0.9464482308096356,,,,,,,,,,,,,,,,1756117993.856884
,,,,,,,,,,,,,320,,,,,,,,,,,0.0001232827057593821,,,,,,1756118074.949615
,0.9999999748746895,2704.8988342285156,,,,,,,0.3980050219026147,83.47821235656738,,1.3162240982055664,320,,,5827.87299156189,,,,,,,8616.250038146973,,,3.729313238001467,,,0.3980050219026147,1756118083.813492
0.64,,,0.0001232827057593821,,0.11251578433215643,,,,,,,,320,,921.7293052490255,,,,,1.2753252351284028,320,,,,,,,,,1756118083.837249
,,,,,,,,,,,,,320,0.9714428100321028,,,,,,,,,,,,,,,,1756118083.837368
,,,,,,,,,,,,,330,,,,,,,,,,,0.00011442810988885185,,,,,,1756118163.086238
,0.9999999783104224,2646.3780403137207,,,,,,,0.4610509241145565,76.50399208068848,,1.2486621141433716,330,,,5563.987970352173,,,,,,,8286.870002746582,,,3.4856763993413957,,,0.4610509241145565,1756118171.611979
0.66,,,0.00011442810988885185,,0.116975893110636,,,,,,,,330,,958.2665163623301,,,,,1.268152153491974,330,,,,,,,,,1756118171.635
